iter	Passed	Remaining
411	3777	19141
412	3783	19119
413	3789	19096
414	3797	19079
415	3803	19055
416	3810	19031
417	3816	19008
418	3822	18985
419	3828	18962
420	3835	18939
421	3841	18916
422	3848	18895
423	3870	18949
424	3884	18966
425	3897	18977
426	3907	18971
427	3917	18965
428	3927	18959
429	3937	18952
430	3943	18929
431	3949	18905
432	3955	18883
433	3962	18860
434	3968	18837
435	3974	18815
436	3980	18793
437	3987	18771
438	3994	18751
439	4000	18729
440	4006	18708
441	4013	18685
442	4019	18663
443	4025	18640
444	4032	18619
445	4038	18597
446	4044	18575
447	4051	18556
448	4057	18535
449	4064	18517
450	4071	18496
451	4078	18477
452	4084	18456
453	4091	18438
454	4098	18421
455	4105	18400
456	4111	18381
457	4118	18362
458	4124	18339
459	4130	18318
460	4137	18298
461	4143	18279
462	4150	18260
463	4157	18242
464	4163	18222
465	4176	18227
466	4243	18474
467	4271	18547
468	4290	18579
469	4351	18796
470	4368	18820
471	4383	18834
472	4395	18838
473	4410	18850
474	4426	18872
475	4495	19114
476	4529	19210
477	4558	19284
478	4587	19356
479	4624	19460
480	4682	19656
481	4709	19716
482	4734	19772
483	4758	19820
484	4777	19849
485	4850	20099
486	4935	20401
487	4979	20528
488	4995	20543
489	5005	20532
490	5018	20534
491	5035	20551
492	5051	20566
493	5071	20594
494	5087	20607
495	5103	20617
496	5115	20618
497	5130	20623
498	5144	20629
499	5157	20629
500	5167	20618
501	5176	20602
502	5192	20614
503	5205	20613
504	5211	20589
505	5223	20584
506	5235	20578
507	5244	20565
508	5252	20546
509	5259	20521
510	5266	20499
511	5274	20480
512	5282	20459
513	5288	20435
514	5295	20410
515	5301	20385
516	5308	20362
517	5332	20403
518	5364	20476
519	5380	20487
520	5392	20484
521	5405	20481
522	5420	20489
523	5426	20464
524	5436	20450
525	5442	20425
526	5449	20400
527	5460	20392
528	5467	20369
529	5473	20346
530	5481	20327
531	5490	20308
532	5498	20290
533	5505	20269
534	5513	20251
535	5520	20229
536	5528	20210
537	5536	20189
538	5544	20172
539	5551	20150
540	5558	20129
541	5565	20105
542	5572	20082
543	5578	20059
544	5585	20034
545	5592	20012
546	5599	19991
547	5605	19967
548	5613	19947
549	5619	19923
550	5626	19900
551	5632	19876
552	5639	19854
553	5645	19831
554	5654	19816
555	5660	19792
556	5667	19770
557	5677	19758
558	5683	19736
559	5690	19712
560	5697	19691
561	5704	19671
562	5710	19648
563	5717	19627
564	5725	19610
565	5733	19589
566	5742	19576
567	5749	19555
568	5756	19536
569	5763	19515
570	5771	19497
571	5778	19476
572	5784	19454
573	5791	19431
574	5797	19409
575	5804	19386
576	5810	19364
577	5816	19342
578	5823	19320
579	5829	19299
580	5837	19281
581	5843	19258
582	5850	19236
583	5856	19214
584	5862	19192
585	5869	19170
586	5875	19149
587	5913	19229
588	5928	19235
589	5938	19225
590	5945	19205
591	5952	19185
592	5958	19163
593	5965	19142
594	5972	19121
595	5979	19101
596	5985	19080
597	5994	19064
598	6002	19048
599	6009	19030
600	6017	19013
601	6024	18994
602	6033	18980
603	6040	18962
604	6048	18946
605	6056	18927
606	6063	18909
607	6071	18892
608	6078	18874
609	6086	18857
610	6093	18839
611	6101	18823
612	6108	18804
613	6116	18788
614	6124	18771
615	6132	18756
616	6139	18735
617	6146	18718
618	6153	18698
619	6159	18676
620	6165	18656
621	6173	18638
622	6179	18617
623	6186	18598
624	6192	18578
625	6199	18558
626	6205	18538
627	6212	18518
628	6218	18497
629	6225	18478
630	6232	18459
631	6238	18439
632	6245	18419
633	6251	18400
634	6258	18380
635	6265	18362
636	6271	18342
637	6278	18322
638	6284	18303
639	6290	18282
640	6297	18263
641	6303	18243
642	6310	18223
643	6318	18208
644	6330	18206
645	6343	18204
646	6355	18202
647	6368	18200
648	6380	18197
649	6393	18195
650	6406	18196
651	6413	18178
652	6420	18159
653	6429	18148
654	6436	18129
655	6442	18110
656	6449	18092
657	6456	18073
658	6462	18053
659	6468	18034
660	6476	18018
661	6483	18000
662	6489	17981
663	6495	17961
664	6502	17942
665	6508	17923
666	6515	17904
667	6521	17885
668	6527	17865
669	6533	17846
670	6545	17841
671	6559	17842
672	6571	17838
673	6583	17837
674	6602	17850
675	6614	17848
676	6635	17866
677	6647	17863
678	6657	17854
679	6663	17835
680	6672	17823
681	6692	17838
682	6704	17835
683	6716	17832
684	6731	17835
685	6743	17833
686	6753	17823
687	6759	17803
688	6766	17786
689	6776	17776
690	6783	17758
691	6792	17746
692	6798	17728
693	6805	17708
694	6811	17689
695	6817	17671
696	6824	17652
697	6830	17633
698	6836	17615
699	6843	17596
700	6849	17578
701	6855	17559
702	6862	17540
703	6868	17521
704	6874	17502
705	6881	17485
706	6887	17467
707	6930	17541
708	6949	17556
709	6961	17551
710	6974	17548
711	6986	17545
712	6994	17529
713	7002	17515
714	7010	17501
715	7018	17488
716	7026	17471
717	7034	17458
718	7042	17443
719	7050	17430
720	7057	17413
721	7065	17399
722	7073	17384
723	7080	17367
724	7086	17350
725	7093	17332
726	7100	17315
727	7106	17298
728	7113	17280
729	7119	17262
730	7126	17245
731	7133	17228
732	7139	17210
733	7146	17193
734	7154	17179
735	7160	17162
736	7167	17144
737	7173	17127
738	7179	17108
739	7186	17092
740	7193	17074
741	7200	17059
742	7207	17044
743	7218	17038
744	7225	17022
745	7232	17006
746	7239	16989
747	7247	16975
748	7253	16957
749	7260	16941
750	7267	16924
751	7273	16907
752	7279	16889
753	7286	16872
754	7292	16855
755	7300	16840
756	7307	16826
757	7315	16811
758	7323	16798
759	7353	16836
760	7366	16833
761	7378	16829
762	7512	17101
763	7533	17117
764	7622	17286
765	7632	17276
766	7645	17274
767	7651	17256
768	7659	17241
769	7666	17223
770	7673	17207
771	7679	17190
772	7686	17172
773	7693	17155
774	7700	17138
775	7706	17121
776	7713	17104
777	7720	17087
778	7726	17070
779	7734	17054
780	7740	17036
781	7746	17018
782	7753	17001
783	7759	16984
784	7766	16967
785	7773	16950
786	7779	16933
787	7786	16916
788	7792	16899
789	7799	16882
790	7806	16867
791	7813	16850
792	7820	16833
793	7827	16818
794	7834	16801
795	7840	16784
796	7847	16767
797	7853	16750
798	7860	16733
799	7867	16717
800	7873	16699
801	7879	16683
802	7886	16667
803	7893	16650
804	7899	16633
805	7905	16615
806	8253	17314
807	8268	17315
808	8311	17372
809	8327	17375
810	8336	17362
811	8343	17344
812	8352	17331
813	8358	17313
814	8367	17300
815	8374	17281
816	8383	17269
817	8389	17251
818	8398	17238
819	8405	17220
820	8417	17215
821	8424	17197
822	8432	17181
823	8440	17168
824	8457	17170
825	8466	17159
826	8475	17144
827	8481	17127
828	8488	17110
829	8494	17092
830	8501	17074
831	8507	17055
832	8514	17038
833	8520	17020
834	8527	17003
835	8533	16985
836	8540	16969
837	8549	16956
838	8557	16941
839	8564	16925
840	8571	16908
841	8577	16890
842	8584	16872
843	8590	16856
844	8597	16838
845	8603	16820
846	8609	16802
847	8616	16785
848	8622	16767
849	8628	16749
850	8634	16732
851	8644	16721
852	8655	16712
853	8662	16695
854	8668	16677
855	8675	16662
856	8688	16657
857	8700	16650
858	8713	16646
859	8728	16644
860	8746	16649
861	8769	16663
862	8778	16652
863	8787	16638
864	8796	16626
865	8803	16610
866	8812	16598
867	8819	16582
868	8828	16569
869	8835	16553
870	8844	16541
871	8851	16526
872	8860	16513
873	8867	16496
874	8876	16485
875	8883	16469
876	8893	16458
877	8900	16442
878	8909	16430
879	8916	16414
880	8925	16402
881	8931	16385
882	8942	16375
883	8949	16360
884	8959	16349
885	8966	16334
886	8973	16318
887	8980	16303
888	8987	16286
889	8993	16269
890	9000	16253
891	9006	16236
892	9013	16220
893	9020	16203
894	9026	16187
895	9033	16171
896	9039	16154
897	9046	16137
898	9052	16121
899	9058	16104
900	9065	16087
901	9071	16071
902	9078	16055
903	9084	16039
904	9091	16022
905	9097	16006
906	9105	15992
907	9115	15982
908	9122	15967
909	9130	15952
910	9136	15936
911	9143	15920
912	9149	15904
913	9155	15887
914	9162	15871
915	9168	15855
916	9175	15839
917	9181	15823
918	9188	15806
919	9194	15790
920	9201	15775
921	9211	15765
922	9217	15749
923	9225	15734
924	9274	15791
925	9284	15782
926	9295	15772
927	9305	15762
928	9315	15752
929	9325	15743
930	9335	15732
931	9345	15722
932	9355	15712
933	9364	15701
934	9375	15691
935	9384	15680
936	9411	15698
937	9421	15689
938	9431	15679
939	9438	15663
940	9444	15647
941	9450	15631
942	9457	15615
943	9463	15599
944	9470	15582
945	9476	15566
946	9482	15550
947	9488	15534
948	9495	15519
949	9503	15506
950	9511	15492
951	9517	15476
952	9524	15460
953	9530	15445
954	9538	15430
955	9545	15416
956	9551	15400
957	9558	15384
958	9564	15369
959	9571	15353
960	9577	15337
961	9583	15322
962	9590	15306
963	9596	15290
964	9602	15275
965	9609	15260
966	9616	15244
967	9622	15229
968	9628	15213
969	9635	15197
970	9641	15182
971	9647	15166
972	9654	15150
973	9660	15134
974	9666	15120
975	9676	15108
976	9690	15106
977	9698	15092
978	9708	15083
979	9715	15068
980	9721	15052
981	9727	15037
982	9734	15022
983	9741	15007
984	9747	14992
985	9753	14976
986	9759	14961
987	9766	14946
988	9772	14930
989	9778	14915
990	9785	14899
991	9792	14886
992	9799	14871
993	9814	14869
994	9859	14912
995	9882	14922
996	9899	14923
997	9907	14910
998	9916	14899
999	9923	14884
1000	9932	14873
1001	9938	14858
1002	9947	14846
1003	9954	14831
1004	9962	14819
1005	9971	14808
1006	9980	14797
1007	9987	14782
1008	9993	14768
1009	10001	14754
1010	10008	14739
1011	10014	14725
1012	10021	14710
1013	10027	14695
1014	10034	14680
1015	10040	14665
1016	10047	14651
1017	10053	14636
1018	10060	14622
1019	10067	14607
1020	10073	14592
1021	10081	14579
1022	10087	14564
1023	10095	14551
1024	10102	14537
1025	10109	14523
1026	10115	14508
1027	10122	14495
1028	10129	14480
1029	10136	14465
1030	10142	14451
1031	10150	14439
1032	10159	14427
1033	10166	14413
1034	10175	14402
1035	10182	14389
1036	10192	14379
1037	10203	14370
1038	10215	14364
1039	10227	14358
1040	10235	14345
1041	10243	14333
1042	10251	14320
1043	10314	14384
1044	10326	14377
1045	10340	14374
1046	10348	14361
1047	10356	14348
1048	10363	14334
1049	10374	14326
1050	10383	14316
1051	10403	14319
1052	10465	14381
1053	10501	14407
1054	10532	14426
1055	10547	14423
1056	10561	14418
1057	10576	14414
1058	10582	14400
1059	10597	14396
1060	10609	14389
1061	10616	14375
1062	10626	14365
1063	10635	14354
1064	10647	14347
1065	10657	14336
1066	10665	14324
1067	10672	14310
1068	10680	14297
1069	10688	14285
1070	10697	14273
1071	10705	14260
1072	10712	14246
1073	10719	14232
1074	10727	14219
1075	10734	14205
1076	10741	14191
1077	10749	14179
1078	10755	14164
1079	10764	14153
1080	10772	14140
1081	10778	14125
1082	10786	14113
1083	10792	14098
1084	10800	14085
1085	10807	14071
1086	10814	14057
1087	10822	14044
1088	10828	14029
1089	10837	14019
1090	10844	14005
1091	10866	14010
1092	10899	14031
1093	10920	14035
1094	10946	14045
1095	10953	14031
1096	10960	14018
1097	10968	14005
1098	10975	13992
1099	10984	13980
1100	10990	13965
1101	10998	13952
1102	11005	13938
1103	11012	13924
1104	11020	13912
1105	11026	13898
1106	11035	13886
1107	11042	13872
1108	11049	13859
1109	11056	13844
1110	11063	13831
1111	11069	13817
1112	11075	13802
1113	11084	13790
1114	11091	13777
1115	11098	13763
1116	11105	13750
1117	11114	13738
1118	11121	13725
1119	11129	13713
1120	11136	13700
